id,job_id,user_id,assigned_at
00062795-426f-42d6-8d98-0eac25e64767,18ab3b2c-33a7-4372-ba8f-1b5d91384114,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-10-09 21:13:39.535231+00
0010f76e-4e74-4313-bab7-6705230a3f12,9edfebbd-05db-46e1-b589-39a7ab0dbc73,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-11-25 23:12:36.882932+00
0018bb2b-0622-41e4-a34f-26466f1358cf,023cf090-fd17-4f89-9a51-e2cfb7796edd,53f005b4-2c9a-4bb6-a7af-4c8ad366b734,2025-10-28 19:19:50.8857+00
001c005f-7f93-4c53-a0c1-b355c8b17abd,3d9d72b0-e3ff-4e93-bdbf-a9c8ae3dce0e,e3f71853-245d-4a17-ac56-ec9aab601f3f,2025-12-01 18:45:44.494552+00
002a5416-273d-4de0-9dac-963b972edde7,44817111-6c75-4da4-b78e-a2ce4bbb2a01,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-09-27 15:13:08.745427+00
0038103f-2e2d-4a18-ac5e-ff398cd6ab42,cecf640f-fc47-4f92-b649-9e52539a00f5,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-11-20 20:32:24.122961+00
003c063b-f53c-45d9-8d24-9589e84b3eff,d7ca96be-1ee8-42d6-b227-0a2dd04a3c66,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-09-26 00:30:44.578198+00
003ce224-2b8a-4b79-b742-5c0852c51a3f,6ad9293d-3b66-42cc-8733-b2b07afbec51,16d84d1a-3ac4-45dc-822a-99d833fdceb1,2025-09-20 17:41:08.330993+00
003cf20d-574f-44d8-b540-2275ff899365,6f938730-3013-4cde-b8e3-02fdea6e6726,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-09-20 15:47:12.768063+00
003ff39a-6195-46e9-a444-9ec378b2a044,e1ad71d5-d271-4509-b04a-6dc7d1b60ee3,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-10-04 17:33:10.293819+00
0049ca64-f235-4937-8f08-a0f267779a73,5133ea67-676a-41bd-a123-a7bf49872417,16d84d1a-3ac4-45dc-822a-99d833fdceb1,2025-11-14 14:41:01.241619+00
004b6cae-4f42-4bad-866c-88774a74eaef,84a2d838-ec9f-4679-9f87-3f18b1324454,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-11-25 23:09:02.392163+00
004c87a6-70ad-4565-9283-313f0d8c2455,68d48c95-8d71-4ab6-8247-a4e16c3373cd,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-09-26 00:30:44.578198+00
00535872-af51-4d73-be55-7942132c8298,06148434-10c2-47f4-a05a-37009e8df8f2,e3f71853-245d-4a17-ac56-ec9aab601f3f,2025-09-27 16:10:34.920076+00
0064d246-42e2-4102-bafe-737df4c15371,04b63fbb-0e00-47ec-9173-ed9abef3eecf,53f005b4-2c9a-4bb6-a7af-4c8ad366b734,2025-11-25 22:14:09.907377+00
0067dc9c-e83c-46d3-9687-826cc2509bae,5048e9fc-af61-46cc-aa5f-fe4b179f0fe8,e3f71853-245d-4a17-ac56-ec9aab601f3f,2025-10-14 17:11:55.50538+00
00783f94-da37-43e4-9bc7-bd6debd1da44,afac9a06-f776-4cc6-b525-2e28fb6d51e8,43ef0f73-03a3-43d0-b98f-84c5ee6bd0e6,2025-10-10 19:48:04.401499+00
007eaf91-db03-47a9-8711-3074c354caff,5e3e1c50-62dc-4095-b130-f4cf415f6427,16d84d1a-3ac4-45dc-822a-99d833fdceb1,2025-11-04 20:27:03.195912+00
008e5a85-e292-4cc7-a5cd-9c8f93fa7e5c,85a753b3-2032-48a9-9399-9742289af18d,53f005b4-2c9a-4bb6-a7af-4c8ad366b734,2025-11-26 21:23:58.011381+00
0092f141-e93a-48e8-934c-71c9ebc4f706,6a41a211-6552-4c9d-a149-63e1302cf72e,53f005b4-2c9a-4bb6-a7af-4c8ad366b734,2025-09-20 16:21:43.149043+00
00a1b2df-a6ca-4795-96df-55dfbbee7db7,f08f331f-55f1-400f-b74b-04be683be603,53f005b4-2c9a-4bb6-a7af-4c8ad366b734,2025-11-26 21:23:58.011381+00
